Nucleophile,Catalyst,Base,Conversion
O=C(CC(OCC)=O)OCC,CC(C1=CC=CC2=C1O3)(C)C4=C3C([P+]([Pd-2]5([P+](C6=CC=CC=C6)2C7=CC=CC=C7)C8=C(C=CC=C8)C9=C(C=CC=C9)[NH2+]5)(C%10=CC=CC=C%10)C%11=CC=CC=C%11)=CC=C4.[Cl-],CN(CCCN1C)P1(N(CC)CC)=NC(C)(C)C,0.0
SC1=CC=CC=C1,Cl[Pd-2]1([P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C2=C(C=CC=C2)C3=C(C=CC=C3)[NH2+]1,CN(C)/C(N(C)C)=N\C(C)(C)C,0.0
NC1=CC=CC=C1,CS(O[Pd-2]1([P+](C(C)(C)C)(C(C)(C)C)C2=CC=C(N(C)C)C=C2)C3=C(C=CC=C3)C4=C(C=CC=C4)[NH2+]1)(=O)=O,CN1CCCN2C1=NCCC2,0.0
NC(CC1=CC=CC=C1)=N,CC(C1=CC=CC2=C1O3)(C)C4=C3C([P+]([Pd-2]5([P+](C6=CC=CC=C6)2C7=CC=CC=C7)C8=C(C=CC=C8)C9=C(C=CC=C9)[NH2+]5)(C%10=CC=CC=C%10)C%11=CC=CC=C%11)=CC=C4.[Cl-],CN(C)/C(N(C)C)=N\C(C)(C)C,0.0
OC1=CC=CC=C1,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2[P+]([Pd-2]3(OS(C)(=O)=O)C4=C(C=CC=C4)C5=C(C=CC=C5)[NH2+]3)(C6CCCCC6)C7CCCCC7,CN(P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=CCC)C,0.0
C1(PC2=CC=CC=C2)=CC=CC=C1,CS(O[Pd-2]1([P+](C(C)(C)C)(C(C)(C)C)C2=CC=C(N(C)C)C=C2)C3=C(C=CC=C3)C4=C(C=CC=C4)[NH2+]1)(=O)=O,CN(CCCN1C)P1(N(CC)CC)=NC(C)(C)C,0.0
O=C(CC(OCC)=O)OCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(OC)C=CC(OC)=C2[P+](C(C)(C)C)(C(C)(C)C)[Pd-2]3(OS(C)(=O)=O)C4=C(C=CC=C4)C5=C(C=CC=C5)[NH2+]3,CN(CCCN1C)P1(N(CC)CC)=NC(C)(C)C,0.0070999999999999995
NC1=CC=CC=C1,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(OC)C=CC(OC)=C2[P+](C(C)(C)C)(C(C)(C)C)[Pd-2]3(OS(C)(=O)=O)C4=C(C=CC=C4)C5=C(C=CC=C5)[NH2+]3,CN(P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=CCC)C,0.08380000000000001
OC1=CC=CC=C1,Cl[Pd-2]1([P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C2=C(C=CC=C2)C3=C(C=CC=C3)[NH2+]1,CN1CCCN2C1=NCCC2,0.0
NC(OC(C)(C)C)=O,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(OC)C=CC(OC)=C2[P+](C34C[C@H]5C[C@H](C[C@H](C5)C4)C3)(C67C[C@H]8C[C@H](C[C@H](C8)C7)C6)[Pd-2]9(OS(C)(=O)=O)C%10=C(C=CC=C%10)C%11=C(C=CC=C%11)[NH2+]9,CN(CCCN1C)P1(N(CC)CC)=NC(C)(C)C,0.0055000000000000005
