substrate,base,fluoride,yield
OCCCCC1=CC=CC=C1,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,0.42
OCCCCC1=CC=CC=C1,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,0.48
OCCCCC1=CC=CC=C1,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.47
OCCCCC1=CC=CC=C1,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.52
OCCCCC1=CC=CC=C1,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.52
OCCCCC1=CC=CC=C1,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,0.76
OCCCCC1=CC=CC=C1,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,0.78
OCCCCC1=CC=CC=C1,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.87
OCCCCC1=CC=CC=C1,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.82
OCCCCC1=CC=CC=C1,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.8
OCCCCC1=CC=CC=C1,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.78
OCCCCC1=CC=CC=C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.79
OCCCCC1=CC=CC=C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,0.91
OCCCCC1=CC=CC=C1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,0.87
OCCCCC1=CC=CC=C1,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,0.84
OCCCCC1=CC=CC=C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,0.87
OCCCCC1=CC=CC=C1,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,0.88
